2902	Parece que vou morrer de tanta dor🥺🥺🥺🥺🥺 	1511115555708751874	3
3366	sla, eu só queria q desse certo 	1511034047946006537	7
2224	Até na faculdade passo raiva com essa bosta 	1511031691556532224	2
686	ah vai tomar no seu cu arthur maluco choramingão da porra 	1511035593387565060	2,8
677	Aí papo sério só queria voltar p uff com a temperatuar -20°C p poder botar um casaco 	1511045867662462987	7
2515	Pai afasta de mim todas as pessoas que vem pra atrasar meu caminho 	1511046205094170630	7
3804	Alguém vai criticar a fala do condenado ou, sendo ele, tá tudo bem? 	1511121778038525952	6
725	Tenho ódio de mim mesmo pq eu fico dando moral e prioridade pra quem n tá nem aí p mim. Diário de um trouxa 	1511033618986152129	2,8,22
3011	SIM,SIM,SIM! 	1511045811731374080	4
917	isso nunca vai acontecer! 	1511036351868817409	9
3101	é, quem diria, um dia ele era o maior anti-romantic da cafeteria, odiava amor e odiava ter q sair comigo pra 12 encontros.... hj a gente tem um gato 😳 	1511115331183517700	17
2794	eu amo o papi pois ele nao tem medo de nada, eh o maioral sim 	1511042742620721154	17
1248	JOVEM PAN REBAIXADA PARA FONTE NÃO CONFIÁVEL NA WIKIPEDIA KKKKKKKKKKKKK 	1511122623882829825	1
211	Você tá certo 	1511114749072879617	4
2806	Painho fica bestinho quando me vê escutando lenine, Frank Sinatra, a-ha....  Mal sabe ele que eu também escuto Me chama de coelhinha vem entrar na minha toca vou sentar na cenoura hoje eu pulo igual pipoca 	1511120610809815040	1
1093	Bom bom era hoje o Santa Clara tirar pontos ao Porto 	1511034483088269315	29
2161	Os fios da minha escola começaram a pegar fogo, todo mundo preso agora. E o medo de morrer eletrocutada???? 	1511045310356852739	13
2638	até o fim, meu único amor 	1511114532235718656	17
3881	fui fazer piada no grupo da igreja e agr tão tds assim 😐😐😐com meu senso de humor mds- 	1511123295080525824	11
2611	Onde estava sua suposta empatia, quando era ministro e presenciou o massacre que brasileiros sofreram na pandemia, quando foram presos como bandidos só por caminharem na rua ou quando tentavam abrir seus negócios p/ não morrerem da fome? Tu é o MAIOR COVARDE que o Brasil já viu! 	1511027590194204676	2,9
1738	Quando o Brazza escreveu: '(...) O poder ainda tá na mão dos Fariseus, e melhor que ser filho de Deus, é ser filho de deputado' Ele não tinha a noção da mamata moral e ética que é ser filho de presidente. Mais um dia e mais uma declaração BIZARRA da família Bolsonaro. Triste. 	1511029120632766468	9
322	Medo de mandar uma mensagem assim pra pessoa que um dia foi muito especial pra mim. 	1511122156884799501	13
3870	A fama, a vontade de aparecer passou por cima de todos os valores. Creindeuspai! 	1511027671446269956	9
1239	Vou confessar que não entendo muito bem oq o Luan fala numa parte de Erro Planejado kkkkkk 	1511039425710542848	5
1223	A semana começou uma merda 	1511032570288484353	3
2831	Comi 2 fatia de pizza já fiquei enjoado... 	1511116737600708613	3
1885	Vingança e Justiça são fáceis de se confundir.... 	1511027681583792128	5
405	eu mudei de conta no tg 💪 tudo certo jovem 	1511033819691991042	29
1451	só quero o braço e o carinho dela, não tô mais aguentando 	1511116011134763009	7,26
1775	Ok a gabriele me arruma uma coisa na cabeça que me deu medo agora kkkk 	1511045954383851520	13
3700	todo dia vou vim aqui reclamar da dor do meu siso sim 	1511116085994606596	3
1511	Doeu mais retocar a tatuagem no dedo do que fazer a tatuagem nova 	1511029465412947976	29
1476	e daí se ele é criminoso?? eu n sou da polícia 	1511120766028369927	1
2452	Mano, Gabigol 'is not that guy, pal' para ser líder de vestiário e capitão, sabe? 	1511038029057695744	9
2357	sério. 	1511034115709145100	29
2066	Puta merda, preciso do filme dos Peaky Blinders logo 	1511033236872327173	7
1393	Meu pai do céu, o tae e o namjoon estavam MUITO LINDO CARALHOOKOQOOW 	1511042843770605568	0
1424	Olha, ela não só votou num miliciano apologista da tortura e da ditadura; ela fez campanha pro genocida, caralho! Ela ajudou - com suas análises elitistas, entreguistas e covardes - a eleger este ladrão! Ah, vá! 	1511045458382176265	2
338	Eu sou um merda 	1511119202727440386	23
483	independente de tudo se ame rpz, a dor de perder alguém em uma fase ruim mentalmente é a pior. 	1511115016619053063	15,17,23
2805	Queria marcar o boca de fossa nessa, mas ele já me bloqueou 🥳🥳 	1511041602076168195	3,7
983	mano… kkkkk juro 🫣🫣🫣🫣🫣🫣 até hj 	1511122290267889665	1
719	Time Fanta demais esse Flamengo do RC. Vergonhoso pressão do Fortaleza, ta de putaria #rogeriocenisemcondições	1407849725999590000	8,9
2268	Tudo dando errado como de costume 🤡 	1511115802258423813	3,23
138	ENQUANTO ISSO, A JUSTIÇA EM DONO PROFUNDO. 	1511037508779491343	3
50	imagina ser fã de h*iley b*eber kkkk puta merda 	1511033645389201417	9
305	é tão difícil as organizadas do inter fazer isso?? 	1511122236513603584	3,6,8
2346	OLHA O SORRISO DO MEU AMOR 💗💗💗💗💗💗 	1511029570627153928	0
1070	Chego à noite no Twitter e a treta é sobre sorvete e pai. Ainda bem q tenho emprego e não tenho tempo pra achar pelo em ovo 	1511122124081094659	1,9
3894	todo filme que esse animal faz essas coisas é uma merda vide esquadrão suicida com ele mandando rato pros ator e agora essa palhaçada de ficar usando muleta 	1511031734858665985	3
1119	o eduardo mandando a real pra dalila falando q o roberval eh melhor q o pai da criança aaa pelo amor de deus precisa de umas na cara sabe 	1511045213459935236	3,9
3752	Dor de cabeça do inferno 	1511114659696463874	3
1478	Gente eu tô besta,que nojo 🤮 	1511033417995071493	10
1115	Cagou pela boca, Danilo joga mt mas falar que joga mais do que Casemiro é sacanagem 	1511040476744400897	3,9
3393	djabo de uma vontade de beber e fazer merda e dps colocar a culpa na bebida	1407877361203380000	7
3746	q vontade de comer mc’donalds puta merda 	1511033706848342017	7
2033	Meu orgulho deles nem cabe mais no peito, é isso. 	1511037982010191874	20
376	Legacies veio pra estragar o legado 	1511032499761303557	9
2301	Ninguém entende nada 😝😝 	1511121624514408451	5
461	eu nao acredito q nao vão colocar o gustavo, O GUSTAVO CARA 	1511114289477791746	3,9
3620	faz uns 10 minutos que eu to rindo sem parar disso aqui a fic meu pai 	1511122136940883976	1
3581	fico mto feliz quando minhas amigas me marcam em posts de “marque alguma criativa etc” 🥺❤️ 	1511123110682112006	16
3761	meu sonho ganhar um ovo de páscoa de boy, mas nem minha mãe me da maiss kkkkk 	1511045097009340417	7,8
1571	eu escutando que o capiroto passa vergonha do meu lado, de tão ruim que eu sou kkkkk credo gente, que absurdo 	1511118651373633537	1
871	O tempo é a senhor da razão de tudo, a soberba desse merda aqui será castigada 	1511031457770352653	2,28
1742	aparece na mh tml mas eu tenho vergonha de interagir 	1511118047041536011	11
